Ano,gini,p90_p10,theil,theil_entre,theil_dentro
2009,0.1509,1.9967,0.0383,0.008,0.0304
2010,0.1627,2.1934,0.0438,0.0113,0.0326
2011,0.1711,2.1469,0.048,0.0098,0.0382
2012,0.1512,2.1197,0.0372,0.0052,0.032
2013,0.1583,2.0451,0.0399,0.0051,0.0348
2014,0.1451,1.993,0.0338,0.0059,0.0279
2015,0.1031,1.5408,0.0181,0.0036,0.0145
2016,0.0927,1.5106,0.0147,0.0024,0.0123
2017,0.0896,1.4699,0.0137,0.0026,0.0111
2018,0.0868,1.402,0.0134,0.0026,0.0107
2019,0.0775,1.3938,0.0106,0.0019,0.0087
2020,0.0857,1.4735,0.0131,0.0026,0.0106
2021,0.1077,1.6425,0.0212,0.0037,0.0175
2022,0.0916,1.5358,0.015,0.0025,0.0125
2023,0.0891,1.4696,0.0148,0.0022,0.0127
2024,0.0871,1.512,0.0132,0.0028,0.0104
