Ano,1m,3m,6m,12m,24m
2009,79.29,67.91,44.53,0.0,
2010,78.02,65.98,43.12,0.0,
2011,76.85,63.81,40.87,0.0,
2012,76.19,64.71,43.12,0.0,
2013,75.91,65.17,44.73,0.0,
2014,73.74,63.78,44.59,0.0,0.0
2015,73.8,66.72,52.98,0.0,0.0
2016,73.56,67.3,56.57,0.0,0.0
2017,74.02,68.34,57.3,0.0,0.0
2018,74.74,69.77,59.4,0.0,0.0
2019,75.06,70.47,61.85,0.0,0.0
2020,72.01,68.34,60.16,0.01,0.0
2021,70.13,66.85,56.72,0.0,0.0
2022,68.64,63.67,55.58,0.0,0.0
2023,68.94,64.22,55.21,0.0,0.0
2024,65.12,60.12,55.81,0.0,0.0
2025,62.66,58.33,55.86,0.0,0.0
2026,61.41,58.04,54.22,0.0,0.0
