Ano,LME,LM + alimentación complementaria,LM + fórmula (mixta),LM + fórmula + complementaria,Fórmula exclusiva,Fórmula + complementaria,Sin clasificar
2017,57.33,7.25,15.78,0.0,12.26,0.0,7.38
2018,59.42,7.21,15.52,0.0,12.42,0.0,5.43
2019,61.85,6.79,15.4,0.0,11.5,0.0,4.45
2020,60.19,8.95,14.9,0.0,12.3,0.0,3.67
2021,56.79,8.49,12.42,4.68,10.58,5.86,1.19
2022,55.61,5.71,13.12,5.63,11.94,6.68,1.31
2023,55.29,4.67,14.53,6.0,12.19,6.32,0.99
2024,55.97,3.24,15.46,5.83,14.39,6.29,0.0
2025,55.96,2.35,16.37,5.11,15.09,6.06,0.0
2026,54.3,2.44,17.07,5.03,16.57,5.87,0.0
